user_id	ad__cr_id	label	gender	fav_cat1	device_os	device_model	version	device_brand	province	media_source	ad__coverimg_weight	ad__position_1_ctr	ad__ctr	ts	price	ad__parent_cr_id	ad__style	context__position_id	fav_cat2	fav_cat3	applist	user_ctr	user_ctr_7days	ctr_cat_2	ctr_cat_3	ctr_cat_4	ctr_cat_6	ctr_cat_7	ctr_cat_9	ctr_cat_13	ctr_cat_21	ctr_cat_10028	ctr_cat_10032
28595987	840477	0	1	9	android_8.1.0	CPH1803	3.7.2	OPPO	53	orgainc_by_master	750	0	0.131643633	1556442347	0.001	0	19	5	23	10032	[]	0	0	0	0	0	0	0	0	0	0	0	0
28598689	840477	0	1	20	android_8.1.0	SM-J415F	3.6.0	samsung	0	Organic	750	0	0.131643633	1556447501	0.001	0	19	5	10028	23	[]	0	0	0	0	0	0	0	0	0	0	0	0
28598970	840478	0	1	10	android_8.1.0	Redmi 5	3.6.0	Xiaomi	42	Facebook Ads	750	0	0.131413057	1556448032	0.001	840478	19	5	10024	12	[]	0	0	0	0	0	0	0	0	0	0	0	0
28598970	840477	0	1	10	android_8.1.0	Redmi 5	3.6.0	Xiaomi	42	Facebook Ads	750	0	0.131643633	1556448096	0.001	0	19	5	10024	12	[]	0	0	0	0	0	0	0	0	0	0	0	0
28599353	840478	0	1	10028	android_8.1.0	itel A32F	3.6.0	itel	5	Facebook Ads	750	0	0.131413057	1556448852	0.001	840478	19	5	20	2	[]	0	0	0	0	0	0	0	0	0	0	0	0
28600489	840477	0	1	10027	android_7.0	HTC 10 evo	3.6.0	HTC	0	googleadwords_int	750	0	0.131643633	1556456860	0.001	0	19	5	3	22	[]	0	0	0	0	0	0	0	0	0	0	0	0
28601000	840483	0	1	9	ios_12.1.2	iPhone6	3.3.2	apple	0	master_and_trainee_v3	750	0	0.050178616	1556451904	0.001	840483	19	5	21	8	[]	0	0	0	0	0	0	0	0	0	0	0	0
28601000	840416	0	1	9	ios_12.1.2	iPhone6	3.3.2	apple	0	master_and_trainee_v3	750	0	0.056537774	1556465798	0.001	0	19	5	21	8	[]	0	0	0	0	0	0	0	0	0	0	0	0
28601274	840391	0	1	9	ios_12.2	iPhone6	3.3.2	apple	0	unknow	750	0	0.038579813	1556463170	0.001	840391	19	5	4	10032	[]	0	0	0	0	0	0	0	0	0	0	0	0
28601274	840416	0	1	9	ios_12.2	iPhone6	3.3.2	apple	0	unknow	750	0	0.056537774	1556496982	0.001	0	19	5	4	10032	[]	0	0	0	0	0	0	0	0	0	0	0	0
28601367	840478	0	1	21	android_9	CPH1987	3.7.2	OPPO	0	orgainc_by_master	750	0	0.131413057	1556455044	0.001	840478	19	5	11	29	"[""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
28601367	840477	0	1	21	android_9	CPH1987	3.7.2	OPPO	0	orgainc_by_master	750	0	0.131643633	1556455002	0.001	0	19	5	11	29	"[""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
28603168	840391	0	1	10027	ios_12.2	iPhone7	3.3.2	apple	0	orgainc_by_master	750	0	0.038579813	1556493600	0.001	840391	19	5	18	10029	[]	0	0	0	0	0	0	0	0	0	0	0	0
28603168	840483	0	1	10027	ios_12.2	iPhone7	3.3.2	apple	0	orgainc_by_master	750	0	0.050178616	1556457728	0.001	840483	19	5	18	10029	[]	0	0	0	0	0	0	0	0	0	0	0	0
28603168	840416	0	1	10027	ios_12.2	iPhone7	3.3.2	apple	0	orgainc_by_master	750	0	0.056537774	1556496431	0.001	0	19	5	18	10029	[]	0	0	0	0	0	0	0	0	0	0	0	0
28604235	840391	0	1	13	ios_11.4.1	iPhone6	3.3.2	apple	7	Facebook Ads	750	0	0.038579813	1556470847	0.001	840391	19	5	23	8	[]	0	0	0	0	0	0	0	0	0	0	0	0
28604235	840416	0	1	13	ios_11.4.1	iPhone6	3.3.2	apple	7	Facebook Ads	750	0	0.056537774	1556471974	0.001	0	19	5	23	8	[]	0	0	0	0	0	0	0	0	0	0	0	0
28605310	840478	0	1	10032	android_4.4.2	SM-G355H	3.6.0	samsung	51	master_and_trainee_v3	750	0	0.131413057	1556457972	0.001	840478	19	5	20	5	"[""com.google.android.gm"", ""com.google.android.apps.docs"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
28606322	840391	0	1	29	ios_11.4.1	iPhone7	3.3.2	apple	0	master_and_trainee_v3	750	0	0.038579813	1556460938	0.001	840391	19	5	7	10029	[]	0	0	0	0	0	0	0	0	0	0	0	0
28611448	840391	0	1	4	ios_12.2	iPhone6	3.3.2	apple	0	Facebook Ads	750	0	0.038579813	1556472473	0.001	840391	19	5	5	14	[]	0	0	0	0	0	0	0	0	0	0	0	0
28612404	840391	0	1	7	ios_12.0.1	iPhone8	3.3.2	apple	0	orgainc_by_master	750	0	0.038579813	1556470876	0.001	840391	19	5	10032	10028	[]	0	0	0	0	0	0	0	0	0	0	0	0
28612404	840416	0	1	7	ios_12.0.1	iPhone8	3.3.2	apple	0	orgainc_by_master	750	0	0.056537774	1556470893	0.001	0	19	5	10032	10028	[]	0	0	0	0	0	0	0	0	0	0	0	0
28552062	840490	0	1	6	android_7.1.1	SM-J510FN	3.7.2	samsung	0	Facebook Ads	1000	0.020456234	0.015451627	1556446629	1.0	840490	3	9	10045	10032	"[""com.ss.android.ugc.trill"", ""com.zing.mp3"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0.166666667	0.5	0	0.333333333	0	0	0	0
28552062	840260	0	1	6	android_7.1.1	SM-J510FN	3.7.2	samsung	0	Facebook Ads	1000	0.008453002	0.007710075	1556446726	1.05	840260	5	1	10045	10032	"[""com.ss.android.ugc.trill"", ""com.zing.mp3"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0.166666667	0.5	0	0.333333333	0	0	0	0
28552101	840478	0	2	18	android_6.0.1	SM-G532G	3.6.0	samsung	0	Facebook Ads	750	0	0.131413057	1556342483	0.001	840478	19	5	3	20	"[""com.zing.mp3"", ""com.google.android.apps.docs"", ""com.linecorp.b612.android"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0.125	0.181818182	0.125	0	0	0.142857143	0	0.333333333	0	0
28552267	840477	0	1	10024	android_7.0	F3216	3.6.0	Sony	27	googleadwords_int	750	0	0.131643633	1556347978	0.001	0	19	5	29	19	[]	0	0	0	0	0	0	0	0	0	0	0	0
28552937	840478	1	1	18	android_8.1.0	SM-J730G	3.6.0	samsung	0	Facebook Ads	750	0	0.131413057	1556343693	0.001	840478	19	5	10029	3	[]	0	0	0	0.142857143	0	0	0	0.166666667	0	0	0	0
28552937	840477	1	1	18	android_8.1.0	SM-J730G	3.6.0	samsung	0	Facebook Ads	750	0	0.131643633	1556343664	0.001	0	19	5	10029	3	[]	0	0	0	0.142857143	0	0	0	0.166666667	0	0	0	0
28553264	840477	1	1	18	android_8.1.0	SM-G610F	3.6.0	samsung	0	Facebook Ads	750	0	0.131643633	1556345325	0.001	0	19	5	3	11	"[""com.zing.mp3"", ""ht.nct"", ""com.garena.game.kgvn"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube"", ""com.epi""]"	0	0	0.125	0.227272727	0	0	0	0	0	0	0	0
28553411	840497	0	1	23	android_9	SM-A205F	3.6.0	samsung	0	Facebook Ads	250	0.037624262	0.037624262	1556436830	0.2	0	1	1	10032	8	"[""vn.vtv.vtvgo"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
28553411	840482	0	1	23	android_9	SM-A205F	3.6.0	samsung	0	Facebook Ads	1000	0	0.002766949	1556436718	1.05	840260	5	2	10032	8	"[""vn.vtv.vtvgo"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
28553411	840258	0	1	23	android_9	SM-A205F	3.6.0	samsung	0	Facebook Ads	1000	0.012899455	0.011522962	1556437064	1.05	840258	3	1	10032	8	"[""vn.vtv.vtvgo"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
28553411	840458	0	1	23	android_9	SM-A205F	3.6.0	samsung	0	Facebook Ads	1000	0.006929917	0.006195781	1556437055	1.05	840260	5	1	10032	8	"[""vn.vtv.vtvgo"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
